Local Authority,Specimen date,Cases (new),Cumulative cases,"Cumulative incidence per 100,000 population",Testing episodes (new),Cumulative testing episodes
Blaenau Gwent,29/07/2020,0,375,536.8,3,5341
Blaenau Gwent,28/07/2020,0,375,536.8,43,5338
Blaenau Gwent,27/07/2020,2,375,536.8,80,5295
Blaenau Gwent,26/07/2020,1,373,533.9,22,5215
Blaenau Gwent,25/07/2020,0,372,532.5,15,5193
Blaenau Gwent,24/07/2020,0,372,532.5,41,5178
Blaenau Gwent,23/07/2020,0,372,532.5,28,5137
Blaenau Gwent,22/07/2020,2,372,532.5,170,5109
Blaenau Gwent,21/07/2020,2,370,529.6,170,4939
Blaenau Gwent,20/07/2020,0,368,526.8,140,4769
Blaenau Gwent,19/07/2020,0,368,526.8,20,4629
Blaenau Gwent,18/07/2020,2,368,526.8,27,4609
Blaenau Gwent,17/07/2020,0,366,523.9,37,4582
Blaenau Gwent,16/07/2020,0,366,523.9,64,4545
Blaenau Gwent,15/07/2020,0,366,523.9,59,4481
Blaenau Gwent,14/07/2020,0,366,523.9,48,4422
Blaenau Gwent,13/07/2020,0,366,523.9,80,4374
Blaenau Gwent,12/07/2020,0,366,523.9,19,4294
Blaenau Gwent,11/07/2020,0,366,523.9,20,4275
Blaenau Gwent,10/07/2020,0,366,523.9,39,4255
Blaenau Gwent,09/07/2020,1,366,523.9,47,4216
Blaenau Gwent,08/07/2020,1,365,522.5,61,4169
Blaenau Gwent,07/07/2020,0,364,521,50,4108
Blaenau Gwent,06/07/2020,1,364,521,111,4058
Blaenau Gwent,05/07/2020,0,363,519.6,21,3947
Blaenau Gwent,04/07/2020,0,363,519.6,60,3926
Blaenau Gwent,03/07/2020,1,363,519.6,54,3866
Blaenau Gwent,02/07/2020,1,362,518.2,72,3812
Blaenau Gwent,01/07/2020,2,361,516.7,115,3740
Blaenau Gwent,30/06/2020,0,359,513.9,91,3625
Blaenau Gwent,29/06/2020,2,359,513.9,119,3534
Blaenau Gwent,28/06/2020,0,357,511,26,3415
Blaenau Gwent,27/06/2020,0,357,511,11,3389
Blaenau Gwent,26/06/2020,2,357,511,60,3378
Blaenau Gwent,25/06/2020,0,355,508.1,60,3318
Blaenau Gwent,24/06/2020,0,355,508.1,62,3258
Blaenau Gwent,23/06/2020,2,355,508.1,49,3196
Blaenau Gwent,22/06/2020,0,353,505.3,62,3147
Blaenau Gwent,21/06/2020,1,353,505.3,12,3085
Blaenau Gwent,20/06/2020,0,352,503.9,32,3073
Blaenau Gwent,19/06/2020,0,352,503.9,41,3041
Blaenau Gwent,18/06/2020,1,352,503.9,90,3000
Blaenau Gwent,17/06/2020,1,351,502.4,92,2910
Blaenau Gwent,16/06/2020,0,350,501,77,2818
Blaenau Gwent,15/06/2020,2,350,501,134,2741
Blaenau Gwent,14/06/2020,1,348,498.1,43,2607
Blaenau Gwent,13/06/2020,0,347,496.7,133,2564
Blaenau Gwent,12/06/2020,1,347,496.7,64,2431
Blaenau Gwent,11/06/2020,0,346,495.3,22,2367
Blaenau Gwent,10/06/2020,0,346,495.3,36,2345
Blaenau Gwent,09/06/2020,0,346,495.3,75,2309
Blaenau Gwent,08/06/2020,1,346,495.3,72,2234
Blaenau Gwent,07/06/2020,1,345,493.8,76,2162
Blaenau Gwent,06/06/2020,1,344,492.4,31,2086
Blaenau Gwent,05/06/2020,0,343,491,47,2055
Blaenau Gwent,04/06/2020,0,343,491,54,2008
Blaenau Gwent,03/06/2020,0,343,491,25,1954
Blaenau Gwent,02/06/2020,0,343,491,44,1929
Blaenau Gwent,01/06/2020,0,343,491,24,1885
Blaenau Gwent,31/05/2020,2,343,491,32,1861
Blaenau Gwent,30/05/2020,2,341,488.1,128,1829
Blaenau Gwent,29/05/2020,0,339,485.2,32,1701
Blaenau Gwent,28/05/2020,1,339,485.2,28,1669
Blaenau Gwent,27/05/2020,5,338,483.8,48,1641
Blaenau Gwent,26/05/2020,0,333,476.7,38,1593
Blaenau Gwent,25/05/2020,2,333,476.7,29,1555
Blaenau Gwent,24/05/2020,0,331,473.8,17,1526
Blaenau Gwent,23/05/2020,1,331,473.8,29,1509
Blaenau Gwent,22/05/2020,1,330,472.4,39,1480
Blaenau Gwent,21/05/2020,0,329,470.9,35,1441
Blaenau Gwent,20/05/2020,2,329,470.9,58,1406
Blaenau Gwent,19/05/2020,1,327,468.1,16,1348
Blaenau Gwent,18/05/2020,1,326,466.6,20,1332
Blaenau Gwent,17/05/2020,3,325,465.2,21,1312
Blaenau Gwent,16/05/2020,4,322,460.9,90,1291
Blaenau Gwent,15/05/2020,4,318,455.2,90,1201
Blaenau Gwent,14/05/2020,0,314,449.5,18,1111
Blaenau Gwent,13/05/2020,0,314,449.5,23,1093
Blaenau Gwent,12/05/2020,0,314,449.5,18,1070
Blaenau Gwent,11/05/2020,1,314,449.5,16,1052
Blaenau Gwent,10/05/2020,0,313,448,12,1036
Blaenau Gwent,09/05/2020,3,313,448,15,1024
Blaenau Gwent,08/05/2020,0,310,443.7,31,1009
Blaenau Gwent,07/05/2020,7,310,443.7,41,978
Blaenau Gwent,06/05/2020,4,303,433.7,24,937
Blaenau Gwent,05/05/2020,7,299,428,34,913
Blaenau Gwent,04/05/2020,1,292,418,17,879
Blaenau Gwent,03/05/2020,2,291,416.5,12,862
Blaenau Gwent,02/05/2020,9,289,413.7,57,850
Blaenau Gwent,01/05/2020,2,280,400.8,21,793
Blaenau Gwent,30/04/2020,2,278,397.9,19,772
Blaenau Gwent,29/04/2020,2,276,395.1,21,753
Blaenau Gwent,28/04/2020,2,274,392.2,25,732
Blaenau Gwent,27/04/2020,1,272,389.3,17,707
Blaenau Gwent,26/04/2020,2,271,387.9,9,690
Blaenau Gwent,25/04/2020,6,269,385,21,681
Blaenau Gwent,24/04/2020,5,263,376.5,23,660
Blaenau Gwent,23/04/2020,3,258,369.3,11,637
Blaenau Gwent,22/04/2020,8,255,365,25,626
Blaenau Gwent,21/04/2020,0,247,353.6,22,601
Blaenau Gwent,20/04/2020,7,247,353.6,17,579
Blaenau Gwent,19/04/2020,2,240,343.5,11,562
Blaenau Gwent,18/04/2020,9,238,340.7,24,551
Blaenau Gwent,17/04/2020,10,229,327.8,27,527
Blaenau Gwent,16/04/2020,10,219,313.5,27,500
Blaenau Gwent,15/04/2020,10,209,299.2,27,473
Blaenau Gwent,14/04/2020,9,199,284.8,19,446
Blaenau Gwent,13/04/2020,8,190,272,10,427
Blaenau Gwent,12/04/2020,2,182,260.5,11,417
Blaenau Gwent,11/04/2020,10,180,257.7,19,406
Blaenau Gwent,10/04/2020,5,170,243.3,9,387
Blaenau Gwent,09/04/2020,7,165,236.2,20,378
Blaenau Gwent,08/04/2020,15,158,226.2,25,358
Blaenau Gwent,07/04/2020,5,143,204.7,12,333
Blaenau Gwent,06/04/2020,16,138,197.5,20,321
Blaenau Gwent,05/04/2020,4,122,174.6,10,301
Blaenau Gwent,04/04/2020,12,118,168.9,21,291
Blaenau Gwent,03/04/2020,9,106,151.7,22,270
Blaenau Gwent,02/04/2020,8,97,138.8,20,248
Blaenau Gwent,01/04/2020,6,89,127.4,17,228
Blaenau Gwent,31/03/2020,15,83,118.8,22,211
Blaenau Gwent,30/03/2020,9,68,97.3,20,189
Blaenau Gwent,29/03/2020,5,59,84.5,14,169
Blaenau Gwent,28/03/2020,3,54,77.3,10,155
Blaenau Gwent,27/03/2020,5,51,73,12,145
Blaenau Gwent,26/03/2020,6,46,65.8,15,133
Blaenau Gwent,25/03/2020,5,40,57.3,19,118
Blaenau Gwent,24/03/2020,4,35,50.1,10,99
Blaenau Gwent,23/03/2020,3,31,44.4,11,89
Blaenau Gwent,22/03/2020,3,28,40.1,5,78
Blaenau Gwent,21/03/2020,2,25,35.8,12,73
Blaenau Gwent,20/03/2020,8,23,32.9,17,61
Blaenau Gwent,19/03/2020,2,15,21.5,8,44
Blaenau Gwent,18/03/2020,1,13,18.6,4,36
Blaenau Gwent,17/03/2020,2,12,17.2,3,32
Blaenau Gwent,16/03/2020,1,10,14.3,4,29
Blaenau Gwent,15/03/2020,3,9,12.9,6,25
Blaenau Gwent,14/03/2020,1,6,8.6,2,19
Blaenau Gwent,13/03/2020,3,5,7.2,5,17
Blaenau Gwent,12/03/2020,1,2,2.9,7,12
Blaenau Gwent,11/03/2020,1,1,1.4,2,5
Blaenau Gwent,10/03/2020,0,0,0,0,3
Blaenau Gwent,09/03/2020,0,0,0,0,3
Blaenau Gwent,08/03/2020,0,0,0,0,3
Blaenau Gwent,07/03/2020,0,0,0,0,3
Blaenau Gwent,06/03/2020,0,0,0,0,3
Blaenau Gwent,05/03/2020,0,0,0,0,3
Blaenau Gwent,04/03/2020,0,0,0,0,3
Blaenau Gwent,03/03/2020,0,0,0,0,3
Blaenau Gwent,02/03/2020,0,0,0,0,3
Blaenau Gwent,01/03/2020,0,0,0,0,3
Blaenau Gwent,29/02/2020,0,0,0,0,3
Blaenau Gwent,28/02/2020,0,0,0,0,3
Blaenau Gwent,27/02/2020,0,0,0,3,3
Blaenau Gwent,26/02/2020,0,0,0,0,0
Blaenau Gwent,25/02/2020,0,0,0,0,0
Blaenau Gwent,24/02/2020,0,0,0,0,0
Blaenau Gwent,23/02/2020,0,0,0,0,0
Blaenau Gwent,22/02/2020,0,0,0,0,0
Blaenau Gwent,21/02/2020,0,0,0,0,0
Blaenau Gwent,20/02/2020,0,0,0,0,0
Blaenau Gwent,19/02/2020,0,0,0,0,0
Blaenau Gwent,18/02/2020,0,0,0,0,0
Blaenau Gwent,17/02/2020,0,0,0,0,0
Blaenau Gwent,16/02/2020,0,0,0,0,0
Blaenau Gwent,15/02/2020,0,0,0,0,0
Blaenau Gwent,14/02/2020,0,0,0,0,0
Blaenau Gwent,13/02/2020,0,0,0,0,0
Blaenau Gwent,12/02/2020,0,0,0,0,0
Blaenau Gwent,11/02/2020,0,0,0,0,0
Blaenau Gwent,10/02/2020,0,0,0,0,0
Blaenau Gwent,09/02/2020,0,0,0,0,0
Blaenau Gwent,08/02/2020,0,0,0,0,0
Blaenau Gwent,07/02/2020,0,0,0,0,0
Blaenau Gwent,06/02/2020,0,0,0,0,0
Blaenau Gwent,05/02/2020,0,0,0,0,0
Blaenau Gwent,04/02/2020,0,0,0,0,0
Blaenau Gwent,03/02/2020,0,0,0,0,0
Bridgend,29/07/2020,0,572,389,0,10457
Bridgend,28/07/2020,0,572,389,23,10457
Bridgend,27/07/2020,0,572,389,57,10434
Bridgend,26/07/2020,0,572,389,55,10377
Bridgend,25/07/2020,0,572,389,67,10322
Bridgend,24/07/2020,1,572,389,106,10255
Bridgend,23/07/2020,0,571,388.3,173,10149
Bridgend,22/07/2020,0,571,388.3,105,9976
Bridgend,21/07/2020,2,571,388.3,77,9871
Bridgend,20/07/2020,1,569,386.9,80,9794
Bridgend,19/07/2020,0,568,386.3,47,9714
Bridgend,18/07/2020,0,568,386.3,54,9667
Bridgend,17/07/2020,1,568,386.3,107,9613
Bridgend,16/07/2020,1,567,385.6,107,9506
Bridgend,15/07/2020,0,566,384.9,206,9399
Bridgend,14/07/2020,1,566,384.9,86,9193
Bridgend,13/07/2020,0,565,384.2,130,9107
Bridgend,12/07/2020,0,565,384.2,43,8977
Bridgend,11/07/2020,0,565,384.2,86,8934
Bridgend,10/07/2020,2,565,384.2,190,8848
Bridgend,09/07/2020,0,563,382.9,134,8658
Bridgend,08/07/2020,1,563,382.9,240,8524
Bridgend,07/07/2020,0,562,382.2,162,8284
Bridgend,06/07/2020,2,562,382.2,172,8122
Bridgend,05/07/2020,1,560,380.8,46,7950
Bridgend,04/07/2020,0,559,380.1,63,7904
Bridgend,03/07/2020,0,559,380.1,200,7841
Bridgend,02/07/2020,0,559,380.1,86,7641
Bridgend,01/07/2020,1,559,380.1,184,7555
Bridgend,30/06/2020,0,558,379.5,112,7371
Bridgend,29/06/2020,0,558,379.5,88,7259
Bridgend,28/06/2020,0,558,379.5,37,7171
Bridgend,27/06/2020,0,558,379.5,53,7134
Bridgend,26/06/2020,1,558,379.5,104,7081
Bridgend,25/06/2020,0,557,378.8,119,6977
Bridgend,24/06/2020,1,557,378.8,115,6858
Bridgend,23/06/2020,0,556,378.1,124,6743
